,Day,Open,High,Low,Close,Volume,Typical Price,Positive Money Flow,Negative Money Flow,Money Flow Index,Positive Money Flow Sum,Negative Money Flow Sum
0,1,47.04,48.24,47.04,48.15,3509,47.81,0.0,0.0,0.0,,
1,2,48.17,48.89,47.97,48.36,4862,48.406666666666666,235353.21333333332,0.0,0.0,,
2,3,48.55,49.71,48.52,49.55,1810,49.26,89160.59999999999,0.0,0.0,,
3,4,49.55,49.87,48.51,49.41,3824,49.26333333333333,188382.98666666663,0.0,0.0,,
4,5,49.41,49.96,45.84,46.36,2209,47.38666666666668,0.0,104677.1466666667,0.0,,
5,6,46.35,46.51,44.61,45.6,4558,45.57333333333333,0.0,207723.25333333333,0.0,,
6,7,45.54,45.54,43.63,44.02,3832,44.39666666666667,0.0,170128.02666666667,0.0,,
7,8,44.05,44.49,43.19,43.57,3778,43.75,0.0,165287.5,0.0,,
8,9,43.63,45.29,43.63,45.0,1005,44.64000000000001,44863.200000000004,0.0,0.0,,
9,10,44.96,44.96,42.88,43.44,4047,43.76,0.0,177096.72,0.0,,
10,11,43.44,45.01,43.24,44.9,2201,44.38333333333333,97687.71666666666,0.0,0.0,,
11,12,44.9,45.53,44.76,45.18,2507,45.156666666666666,113207.76333333334,0.0,0.0,,
12,13,45.13,45.13,43.78,44.39,4392,44.43333333333334,0.0,195151.2,0.0,,
13,14,44.09,44.24,42.7,42.95,3497,43.29666666666666,0.0,151408.4433333333,0.0,,
14,15,43.09,43.57,42.56,43.08,1181,43.06999999999999,0.0,50865.66999999999,0.0,,
15,16,42.94,43.9,42.25,42.52,1971,42.89000000000001,0.0,84536.19000000002,0.0,,
16,17,42.64,44.08,42.62,43.99,4994,43.56333333333333,217555.28666666665,0.0,43.00803513636416,986210.7666666666,1306874.15
17,18,43.99,45.32,43.9,45.23,2017,44.81666666666666,90395.21666666666,0.0,39.16215388241585,841252.77,1306874.15
18,19,45.23,45.62,44.37,44.82,2823,44.93666666666667,126856.21,0.0,40.211333168022556,878948.3799999999,1306874.15
19,20,44.83,45.73,44.03,45.63,2774,45.129999999999995,125190.61999999998,0.0,38.431377609950076,815756.0133333332,1306874.15
